"","ko","module","ko_description","module_description"
"1","K00844","M00001","HK; hexokinase [EC:2.7.1.1]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"2","K12407","M00001","GCK; glucokinase [EC:2.7.1.2]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"3","K00845","M00001","glk; glucokinase [EC:2.7.1.2]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"4","K25026","M00001","glk; glucokinase [EC:2.7.1.2]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"5","K00886","M00001","ppgK; polyphosphate glucokinase [EC:2.7.1.63]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"6","K08074","M00001","ADPGK; ADP-dependent glucokinase [EC:2.7.1.147]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"7","K00918","M00001","pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"8","K01810","M00001","GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"9","K06859","M00001","pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"10","K13810","M00001","tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"11","K15916","M00001","pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"12","K00850","M00001","pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"13","K16370","M00001","pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"14","K21071","M00001","pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"15","K24182","M00001","PFK9; 6-phosphofructokinase [EC:2.7.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"16","K00918","M00001","pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"17","K01623","M00001","ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"18","K01624","M00001","FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"19","K11645","M00001","fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"20","K16305","M00001","K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"21","K16306","M00001","K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"22","K01803","M00001","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"23","K00134","M00001","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"24","K00150","M00001","gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"25","K00927","M00001","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"26","K11389","M00001","gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"27","K01834","M00001","PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"28","K15633","M00001","gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"29","K15634","M00001","gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"30","K15635","M00001","apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"31","K01689","M00001","ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"32","K27394","M00001","ENO4; enolase 4 [EC:4.2.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"33","K00873","M00001","PK, pyk; pyruvate kinase [EC:2.7.1.40]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"34","K12406","M00001","PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"35","K01803","M00002","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Glycolysis, core module involving three-carbon compounds"
"36","K00134","M00002","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","Glycolysis, core module involving three-carbon compounds"
"37","K00150","M00002","gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","Glycolysis, core module involving three-carbon compounds"
"38","K00927","M00002","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Glycolysis, core module involving three-carbon compounds"
"39","K11389","M00002","gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]","Glycolysis, core module involving three-carbon compounds"
"40","K01834","M00002","PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","Glycolysis, core module involving three-carbon compounds"
"41","K15633","M00002","gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","Glycolysis, core module involving three-carbon compounds"
"42","K15634","M00002","gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","Glycolysis, core module involving three-carbon compounds"
"43","K15635","M00002","apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","Glycolysis, core module involving three-carbon compounds"
"44","K01689","M00002","ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]","Glycolysis, core module involving three-carbon compounds"
"45","K27394","M00002","ENO4; enolase 4 [EC:4.2.1.11]","Glycolysis, core module involving three-carbon compounds"
"46","K00873","M00002","PK, pyk; pyruvate kinase [EC:2.7.1.40]","Glycolysis, core module involving three-carbon compounds"
"47","K12406","M00002","PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]","Glycolysis, core module involving three-carbon compounds"
"48","K01596","M00003","E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]","Gluconeogenesis, oxaloacetate => fructose-6P"
"49","K01610","M00003","pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]","Gluconeogenesis, oxaloacetate => fructose-6P"
"50","K01689","M00003","ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]","Gluconeogenesis, oxaloacetate => fructose-6P"
"51","K27394","M00003","ENO4; enolase 4 [EC:4.2.1.11]","Gluconeogenesis, oxaloacetate => fructose-6P"
"52","K01834","M00003","PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","Gluconeogenesis, oxaloacetate => fructose-6P"
"53","K15633","M00003","gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","Gluconeogenesis, oxaloacetate => fructose-6P"
"54","K15634","M00003","gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","Gluconeogenesis, oxaloacetate => fructose-6P"
"55","K15635","M00003","apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","Gluconeogenesis, oxaloacetate => fructose-6P"
"56","K00927","M00003","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Gluconeogenesis, oxaloacetate => fructose-6P"
"57","K00134","M00003","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","Gluconeogenesis, oxaloacetate => fructose-6P"
"58","K00150","M00003","gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","Gluconeogenesis, oxaloacetate => fructose-6P"
"59","K01803","M00003","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Gluconeogenesis, oxaloacetate => fructose-6P"
"60","K01623","M00003","ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Gluconeogenesis, oxaloacetate => fructose-6P"
"61","K01624","M00003","FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","Gluconeogenesis, oxaloacetate => fructose-6P"
"62","K11645","M00003","fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Gluconeogenesis, oxaloacetate => fructose-6P"
"63","K03841","M00003","FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Gluconeogenesis, oxaloacetate => fructose-6P"
"64","K02446","M00003","glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]","Gluconeogenesis, oxaloacetate => fructose-6P"
"65","K11532","M00003","glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","Gluconeogenesis, oxaloacetate => fructose-6P"
"66","K01086","M00003","fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","Gluconeogenesis, oxaloacetate => fructose-6P"
"67","K04041","M00003","fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]","Gluconeogenesis, oxaloacetate => fructose-6P"
"68","K01622","M00003","K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]","Gluconeogenesis, oxaloacetate => fructose-6P"
"69","K13937","M00004","H6PD; hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]","Pentose phosphate pathway (Pentose phosphate cycle)"
"70","K00036","M00004","G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","Pentose phosphate pathway (Pentose phosphate cycle)"
"71","K19243","M00004","azf; NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]","Pentose phosphate pathway (Pentose phosphate cycle)"
"72","K01057","M00004","PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]","Pentose phosphate pathway (Pentose phosphate cycle)"
"73","K07404","M00004","pgl; 6-phosphogluconolactonase [EC:3.1.1.31]","Pentose phosphate pathway (Pentose phosphate cycle)"
"74","K00033","M00004","PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Pentose phosphate pathway (Pentose phosphate cycle)"
"75","K01783","M00004","rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]","Pentose phosphate pathway (Pentose phosphate cycle)"
"76","K01807","M00004","rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]","Pentose phosphate pathway (Pentose phosphate cycle)"
"77","K01808","M00004","rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]","Pentose phosphate pathway (Pentose phosphate cycle)"
"78","K00615","M00004","E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]","Pentose phosphate pathway (Pentose phosphate cycle)"
"79","K00616","M00004","TALDO1, talB, talA; transaldolase [EC:2.2.1.2]","Pentose phosphate pathway (Pentose phosphate cycle)"
"80","K01810","M00004","GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]","Pentose phosphate pathway (Pentose phosphate cycle)"
"81","K06859","M00004","pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]","Pentose phosphate pathway (Pentose phosphate cycle)"
"82","K15916","M00004","pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","Pentose phosphate pathway (Pentose phosphate cycle)"
"83","K13810","M00004","tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]","Pentose phosphate pathway (Pentose phosphate cycle)"
"84","K00948","M00005","PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]","PRPP biosynthesis, ribose 5P => PRPP"
"85","K13937","M00006","H6PD; hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
"86","K00036","M00006","G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
"87","K19243","M00006","azf; NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
"88","K01057","M00006","PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
"89","K07404","M00006","pgl; 6-phosphogluconolactonase [EC:3.1.1.31]","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
"90","K00033","M00006","PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
"91","K00615","M00007","E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
"92","K00616","M00007","TALDO1, talB, talA; transaldolase [EC:2.2.1.2]","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
"93","K13810","M00007","tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
"94","K01783","M00007","rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
"95","K01807","M00007","rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
"96","K01808","M00007","rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
"97","K00036","M00008","G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
"98","K01057","M00008","PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
"99","K07404","M00008","pgl; 6-phosphogluconolactonase [EC:3.1.1.31]","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
"100","K01690","M00008","edd; phosphogluconate dehydratase [EC:4.2.1.12]","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
"101","K01625","M00008","eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
"102","K01647","M00009","CS, gltA; citrate synthase [EC:2.3.3.1]","Citrate cycle (TCA cycle, Krebs cycle)"
"103","K05942","M00009","E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3]","Citrate cycle (TCA cycle, Krebs cycle)"
"104","K01659","M00009","prpC; 2-methylcitrate synthase [EC:2.3.3.5]","Citrate cycle (TCA cycle, Krebs cycle)"
"105","K01681","M00009","ACO; aconitate hydratase [EC:4.2.1.3]","Citrate cycle (TCA cycle, Krebs cycle)"
"106","K27802","M00009","acnA; aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Citrate cycle (TCA cycle, Krebs cycle)"
"107","K01682","M00009","acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Citrate cycle (TCA cycle, Krebs cycle)"
"108","K00031","M00009","IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]","Citrate cycle (TCA cycle, Krebs cycle)"
"109","K00030","M00009","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Citrate cycle (TCA cycle, Krebs cycle)"
"110","K00164","M00009","OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]","Citrate cycle (TCA cycle, Krebs cycle)"
"111","K00658","M00009","DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]","Citrate cycle (TCA cycle, Krebs cycle)"
"112","K01616","M00009","kgd; multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61]","Citrate cycle (TCA cycle, Krebs cycle)"
"113","K00382","M00009","DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]","Citrate cycle (TCA cycle, Krebs cycle)"
"114","K00174","M00009","korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]","Citrate cycle (TCA cycle, Krebs cycle)"
"115","K00175","M00009","korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]","Citrate cycle (TCA cycle, Krebs cycle)"
"116","K00177","M00009","korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]","Citrate cycle (TCA cycle, Krebs cycle)"
"117","K00176","M00009","korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]","Citrate cycle (TCA cycle, Krebs cycle)"
"118","K01902","M00009","sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]","Citrate cycle (TCA cycle, Krebs cycle)"
"119","K01903","M00009","sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]","Citrate cycle (TCA cycle, Krebs cycle)"
"120","K01899","M00009","LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]","Citrate cycle (TCA cycle, Krebs cycle)"
"121","K01900","M00009","LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]","Citrate cycle (TCA cycle, Krebs cycle)"
"122","K18118","M00009","aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]","Citrate cycle (TCA cycle, Krebs cycle)"
"123","K00234","M00009","SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]","Citrate cycle (TCA cycle, Krebs cycle)"
"124","K00235","M00009","SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]","Citrate cycle (TCA cycle, Krebs cycle)"
"125","K00236","M00009","SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit","Citrate cycle (TCA cycle, Krebs cycle)"
"126","K00237","M00009","SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit","Citrate cycle (TCA cycle, Krebs cycle)"
"127","K25801","M00009","SDH4; succinate dehydrogenase (ubiquinone) subunit 4","Citrate cycle (TCA cycle, Krebs cycle)"
"128","K00239","M00009","sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]","Citrate cycle (TCA cycle, Krebs cycle)"
"129","K00240","M00009","sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]","Citrate cycle (TCA cycle, Krebs cycle)"
"130","K00241","M00009","sdhC, frdC; succinate dehydrogenase cytochrome b subunit","Citrate cycle (TCA cycle, Krebs cycle)"
"131","K00242","M00009","sdhD, frdD; succinate dehydrogenase membrane anchor subunit","Citrate cycle (TCA cycle, Krebs cycle)"
"132","K18859","M00009","sdhD, frdD; succinate dehydrogenase subunit D","Citrate cycle (TCA cycle, Krebs cycle)"
"133","K18860","M00009","sdhD, frdD; succinate dehydrogenase subunit D","Citrate cycle (TCA cycle, Krebs cycle)"
"134","K00244","M00009","frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]","Citrate cycle (TCA cycle, Krebs cycle)"
"135","K00245","M00009","frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]","Citrate cycle (TCA cycle, Krebs cycle)"
"136","K00246","M00009","frdC; succinate dehydrogenase subunit C","Citrate cycle (TCA cycle, Krebs cycle)"
"137","K00247","M00009","frdD; succinate dehydrogenase subunit D","Citrate cycle (TCA cycle, Krebs cycle)"
"138","K01676","M00009","E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]","Citrate cycle (TCA cycle, Krebs cycle)"
"139","K01679","M00009","E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]","Citrate cycle (TCA cycle, Krebs cycle)"
"140","K01677","M00009","E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]","Citrate cycle (TCA cycle, Krebs cycle)"
"141","K01678","M00009","E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]","Citrate cycle (TCA cycle, Krebs cycle)"
"142","K00026","M00009","MDH2; malate dehydrogenase [EC:1.1.1.37]","Citrate cycle (TCA cycle, Krebs cycle)"
"143","K00025","M00009","MDH1; malate dehydrogenase [EC:1.1.1.37]","Citrate cycle (TCA cycle, Krebs cycle)"
"144","K00024","M00009","mdh; malate dehydrogenase [EC:1.1.1.37]","Citrate cycle (TCA cycle, Krebs cycle)"
"145","K00116","M00009","mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]","Citrate cycle (TCA cycle, Krebs cycle)"
"146","K01647","M00010","CS, gltA; citrate synthase [EC:2.3.3.1]","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"147","K05942","M00010","E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3]","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"148","K01659","M00010","prpC; 2-methylcitrate synthase [EC:2.3.3.5]","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"149","K01681","M00010","ACO; aconitate hydratase [EC:4.2.1.3]","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"150","K27802","M00010","acnA; aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"151","K01682","M00010","acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"152","K00031","M00010","IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"153","K00030","M00010","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"154","K00164","M00011","OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"155","K00658","M00011","DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"156","K01616","M00011","kgd; multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"157","K00382","M00011","DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"158","K00174","M00011","korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"159","K00175","M00011","korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"160","K00177","M00011","korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"161","K00176","M00011","korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"162","K01902","M00011","sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"163","K01903","M00011","sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"164","K01899","M00011","LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"165","K01900","M00011","LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"166","K18118","M00011","aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"167","K00234","M00011","SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"168","K00235","M00011","SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"169","K00236","M00011","SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"170","K00237","M00011","SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"171","K25801","M00011","SDH4; succinate dehydrogenase (ubiquinone) subunit 4","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"172","K00239","M00011","sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
