"","Module_des","chi_square","p_value"
"64","M00089_Triacylglycerol biosynthesis",16.64,0.00523566002172415
"65","M00090_Phosphatidylcholine (PC) biosynthesis, choline => PC",1.07692307692306,0.956125880908819
"66","M00091_Phosphatidylcholine (PC) biosynthesis, PE => PC",1.07692307692306,0.956125880908819
"67","M00093_Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",8.96428571428571,0.110497188034269
"68","M00094_Ceramide biosynthesis",16.64,0.00523566002172415
"69","M00095_C5 isoprenoid biosynthesis, mevalonate pathway",25.5721359223301,0.000108004839991939
"70","M00096_C5 isoprenoid biosynthesis, non-mevalonate pathway",17.0477453580902,0.00441013107795099
"71","M00097_beta-Carotene biosynthesis, GGAP => beta-carotene",18.8964285714286,0.00200940628768974
"72","M00098_Acylglycerol degradation",14,0.0156094161002669
"73","M00099_Sphingosine biosynthesis",16.64,0.00523566002172415
"74","M00101_Cholesterol biosynthesis, FPP => cholesterol",18.928,0.00198240001933388
"75","M00102_Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol",22.1217391304348,0.000496418581554932
"76","M00104_Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",7.99999999999999,0.156235627577723
"77","M00113_Jasmonic acid biosynthesis",26.0000000000001,8.92359833449606e-05
"78","M00114_Ascorbate biosynthesis, plants, fructose-6P => ascorbate",14.1318681318681,0.0147931174864424
"79","M00115_NAD biosynthesis, aspartate => quinolinate => NAD",17.8044551282051,0.0032017294752749
"80","M00116_Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",10.3506032647268,0.0658891281546618
"81","M00117_Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",16.687956585264,0.00513124212030288
"82","M00118_Glutathione biosynthesis, glutamate => glutathione",22.2857142857143,0.00046199808092168
"83","M00119_Pantothenate biosynthesis, valine/L-aspartate => pantothenate",7.13257575757575,0.210965735609342
"84","M00120_Coenzyme A biosynthesis, pantothenate => CoA",25.3725247524752,0.000118050281595286
"85","M00121_Heme biosynthesis, plants and bacteria, glutamate => heme",14.1408778670392,0.0147388757413356
"86","M00122_Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin",22.2571562776304,0.000467818590747801
"87","M00123_Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",5.97057805469022,0.309092339042986
"88","M00124_Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P",20.2043650793651,0.00114403402024753
"89","M00125_Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD",18.3385964912281,0.00255065767496863
"90","M00126_Tetrahydrofolate biosynthesis, GTP => THF",8.94034959051463,0.111467196963345
"91","M00127_Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP",21.7725823591923,0.000578362264819811
"92","M00128_Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol",26,8.92359833449631e-05
"93","M00129_Ascorbate biosynthesis, animals, glucose-1P => ascorbate",12.5261400128452,0.0282480272331067
"94","M00130_Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",26,8.92359833449638e-05
"95","M00131_Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",16.64,0.00523566002172415
"96","M00133_Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",14.8888983823194,0.0108477575340783
"97","M00134_Polyamine biosynthesis, arginine => ornithine => putrescine",13.04,0.0230067944055569
"98","M00135_GABA biosynthesis, eukaryotes, putrescine => GABA",11.6212278876171,0.0403630577236458
"99","M00136_GABA biosynthesis, prokaryotes, putrescine => GABA",13.8650712250712,0.0164896034596217
"100","M00140_C1-unit interconversion, prokaryotes",8.00000000000004,0.15623562757772
"101","M00141_C1-unit interconversion, eukaryotes",NA,NA
"102","M00143_NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",1.07692307692306,0.956125880908819
"103","M00144_NADH:quinone oxidoreductase, prokaryotes",20.858246427192,0.000861560359360806
"104","M00145_NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria",18.9565217391304,0.00195830898788912
"105","M00149_Succinate dehydrogenase, prokaryotes",22.2857142857143,0.00046199808092168
"106","M00150_Fumarate reductase, prokaryotes",4.86956521739133,0.432005297715076
"107","M00151_Cytochrome bc1 complex respiratory unit",22.2857142857143,0.00046199808092168
"108","M00152_Cytochrome bc1 complex",22.2857142857143,0.00046199808092168
"109","M00153_Cytochrome bd ubiquinol oxidase",17.0989010989011,0.00431599782863379
"110","M00154_Cytochrome c oxidase",14.2417153996101,0.0141447608130229
"111","M00155_Cytochrome c oxidase, prokaryotes",21.7454545454546,0.000585260756839654
"112","M00156_Cytochrome c oxidase, cbb3-type",24.4914418334784,0.000174636355354191
"113","M00157_F-type ATPase, prokaryotes and chloroplasts",19.9911111111111,0.00125453958802179
"114","M00160_V-type ATPase, eukaryotes",26.0000000000001,8.92359833449606e-05
"115","M00162_Cytochrome b6f complex",15.8260869565217,0.00735854884217909
"116","M00165_Reductive pentose phosphate cycle (Calvin cycle)",17.7716130926171,0.00324668587868797
"117","M00168_CAM (Crassulacean acid metabolism), dark",19.8681318681319,0.00132297095552739
"118","M00169_CAM (Crassulacean acid metabolism), light",NA,NA
"119","M00170_C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type",17.4940249173659,0.00365218293600242
"120","M00171_C4-dicarboxylic acid cycle, NAD - malic enzyme type",19.1111111111111,0.00183265060658335
"121","M00172_C4-dicarboxylic acid cycle, NADP - malic enzyme type",19.1111111111111,0.00183265060658335
"122","M00173_Reductive citrate cycle (Arnon-Buchanan cycle)",16.2286528554204,0.00622069326202488
"123","M00174_Methane oxidation, methanotroph, methane => formaldehyde",26,8.92359833449628e-05
"124","M00175_Nitrogen fixation, nitrogen => ammonia",1.07692307692306,0.956125880908819
"125","M00176_Assimilatory sulfate reduction, sulfate => H2S",11.4433690064002,0.0432644287048783
"126","M00307_Pyruvate oxidation, pyruvate => acetyl-CoA",16.3271713615024,0.00596948773220428
"127","M00308_Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",21.4232558139535,0.000673666428969404
"128","M00309_Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate",2.24000000000003,0.815037631979303
"129","M00338_Cysteine biosynthesis, homocysteine + serine => cysteine",13.8268398268398,0.0167475835561065
"130","M00344_Formaldehyde assimilation, xylulose monophosphate pathway",22.672,0.000389947791181196
"131","M00345_Formaldehyde assimilation, ribulose monophosphate pathway",9.07129629629628,0.106253957802161
"132","M00346_Formaldehyde assimilation, serine pathway",19.4978244720365,0.00155196224369407
"133","M00357_Methanogenesis, acetate => methane",10.5557692307692,0.0609349347824211
"134","M00358_Coenzyme M biosynthesis",21.7454545454546,0.000585260756839654
"135","M00364_C10-C20 isoprenoid biosynthesis, bacteria",24.2514619883041,0.000194237879059272
"136","M00365_C10-C20 isoprenoid biosynthesis, archaea",26,8.9235983344963e-05
"137","M00366_C10-C20 isoprenoid biosynthesis, plants",26,8.9235983344963e-05
"138","M00367_C10-C20 isoprenoid biosynthesis, non-plant eukaryotes",26,8.9235983344963e-05
"139","M00368_Ethylene biosynthesis, methionine => ethylene",NA,NA
"140","M00372_Abscisic acid biosynthesis, beta-carotene => abscisic acid",17.4909090909091,0.00365700460894678
"141","M00373_Ethylmalonyl pathway",11.0855193004905,0.0497105062050753
