"","ko","ko_description"
"747","K02131","ATPeF0F6, ATP5J; F-type H+-transporting ATPase subunit 6"
"748","K02132","ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha"
"749","K02133","ATPeF1B, ATP5B, ATP2; F-type H+-transporting ATPase subunit beta [EC:7.1.2.2]"
"750","K02134","ATPeF1D, ATP5D, ATP16; F-type H+-transporting ATPase subunit delta"
"751","K02135","ATPeF1E, ATP5E, ATP15; F-type H+-transporting ATPase subunit epsilon"
"752","K02136","ATPeF1G, ATP5C1, ATP3; F-type H+-transporting ATPase subunit gamma"
"753","K02137","ATPeF0O, ATP5O, ATP5; F-type H+-transporting ATPase subunit O"
"754","K02138","ATPeF0D, ATP5H, ATP7; F-type H+-transporting ATPase subunit d"
"755","K02139","ATPeFF, ATP17; F-type H+-transporting ATPase subunit f"
"756","K02140","ATPeFG, ATP5L, ATP20; F-type H+-transporting ATPase subunit g"
"757","K02141","ATPeFH, ATP14; F-type H+-transporting ATPase subunit h"
"758","K02142","ATPeFJ, ATP18; F-type H+-transporting ATPase subunit j"
"759","K02143","ATPeFK, ATP19; F-type H+-transporting ATPase subunit k"
"760","K02144","ATPeV1H; V-type H+-transporting ATPase subunit H"
"761","K02145","ATPeV1A, ATP6A; V-type H+-transporting ATPase subunit A [EC:7.1.2.2]"
"762","K02146","ATPeV0D, ATP6D; V-type H+-transporting ATPase subunit d"
"763","K02147","ATPeV1B, ATP6B; V-type H+-transporting ATPase subunit B"
"764","K02148","ATPeV1C, ATP6C; V-type H+-transporting ATPase subunit C"
"765","K02149","ATPeV1D, ATP6M; V-type H+-transporting ATPase subunit D"
"766","K02150","ATPeV1E, ATP6E; V-type H+-transporting ATPase subunit E"
"767","K02151","ATPeV1F, ATP6S14; V-type H+-transporting ATPase subunit F"
"768","K02152","ATPeV1G, ATP6G; V-type H+-transporting ATPase subunit G"
"769","K02153","ATPeV0E, ATP6H; V-type H+-transporting ATPase subunit e"
"770","K02154","ATPeV0A, ATP6N; V-type H+-transporting ATPase subunit a"
"771","K02155","ATPeV0C, ATP6L; V-type H+-transporting ATPase 16kDa proteolipid subunit"
"772","K02160","accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"
"773","K02169","bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]"
"774","K02170","bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]"
"775","K02171","blaI; BlaI family transcriptional regulator, penicillinase repressor"
"776","K02172","blaR1; bla regulator protein blaR1"
"777","K02188","cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]"
"778","K02189","cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12]"
"779","K02190","cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]"
"780","K02191","cbiT; cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]"
"781","K02201","E2.7.7.3B; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
"782","K02203","thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]"
"783","K02204","thrB2; homoserine kinase type II [EC:2.7.1.39]"
"784","K02224","cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"
"785","K02225","cobC1, cobC; cobalamin biosynthesis protein CobC"
"786","K02226","cobC, phpB; alpha-ribazole phosphatase [EC:3.1.3.73]"
"787","K02227","cbiB, cobD; adenosylcobinamide-phosphate synthase [EC:6.3.1.10]"
"788","K02228","cobF; precorrin-6A synthase [EC:2.1.1.152]"
"789","K02229","cobG; precorrin-3B synthase [EC:1.14.13.83]"
"790","K02230","cobN; cobaltochelatase CobN [EC:6.6.1.2]"
"791","K02231","cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]"
"792","K02232","cobQ, cbiP; adenosylcobyric acid synthase [EC:6.3.5.10]"
"793","K02233","E2.7.8.26, cobS, cobV; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]"
"794","K02256","COX1; cytochrome c oxidase subunit 1 [EC:7.1.1.9]"
"795","K02257","COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141]"
"796","K02258","COX11, ctaG; cytochrome c oxidase assembly protein subunit 11"
"797","K02259","COX15, ctaA; heme a synthase [EC:1.17.99.9]"
"798","K02260","COX17; cytochrome c oxidase assembly protein subunit 17"
"799","K02261","COX2; cytochrome c oxidase subunit 2"
"800","K02262","COX3; cytochrome c oxidase subunit 3"
"801","K02263","COX4; cytochrome c oxidase subunit 4"
"802","K02264","COX5A; cytochrome c oxidase subunit 5a"
"803","K02265","COX5B; cytochrome c oxidase subunit 5b"
"804","K02266","COX6A; cytochrome c oxidase subunit 6a"
"805","K02267","COX6B; cytochrome c oxidase subunit 6b"
"806","K02268","COX6C; cytochrome c oxidase subunit 6c"
"807","K02270","COX7A; cytochrome c oxidase subunit 7a"
"808","K02271","COX7B; cytochrome c oxidase subunit 7b"
"809","K02272","COX7C; cytochrome c oxidase subunit 7c"
"810","K02273","COX8; cytochrome c oxidase subunit 8"
"811","K02274","coxA, ctaD; cytochrome c oxidase subunit I [EC:7.1.1.9]"
"812","K02275","coxB, ctaC; cytochrome c oxidase subunit II [EC:7.1.1.9]"
"813","K02276","coxC, ctaE; cytochrome c oxidase subunit III [EC:7.1.1.9]"
"814","K02277","coxD, ctaF; cytochrome c oxidase subunit IV [EC:7.1.1.9]"
"815","K02291","crtB; 15-cis-phytoene synthase [EC:2.5.1.32]"
"816","K02293","PDS, crtP; 15-cis-phytoene desaturase [EC:1.3.5.5]"
"817","K02297","cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]"
"818","K02298","cyoB; cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]"
"819","K02299","cyoC; cytochrome o ubiquinol oxidase subunit III"
"820","K02300","cyoD; cytochrome o ubiquinol oxidase subunit IV"
"821","K02302","cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]"
"822","K02303","cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]"
"823","K02304","MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]"
"824","K02305","norC; nitric oxide reductase subunit C"
"825","K02318","COASY; phosphopantetheine adenylyltransferase / dephospho-CoA kinase [EC:2.7.7.3 2.7.1.24]"
"826","K02366","EXT1; glucuronyl/N-acetylglucosaminyl transferase EXT1 [EC:2.4.1.224 2.4.1.225]"
"827","K02367","EXT2; glucuronyl/N-acetylglucosaminyl transferase EXT2 [EC:2.4.1.224 2.4.1.225]"
"828","K02368","EXTL1; alpha-1,4-N-acetylglucosaminyltransferase EXTL1 [EC:2.4.1.224]"
"829","K02369","EXTL2; alpha-1,4-N-acetylglucosaminyltransferase EXTL2 [EC:2.4.1.223]"
"830","K02370","EXTL3; alpha-1,4-N-acetylglucosaminyltransferase EXTL3 [EC:2.4.1.223 2.4.1.224]"
"831","K02371","fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]"
"832","K02372","fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]"
"833","K02437","gcvH, GCSH; glycine cleavage system H protein"
"834","K02438","glgX; glycogen debranching enzyme [EC:3.2.1.196]"
"835","K02446","glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
"836","K02492","hemA; glutamyl-tRNA reductase [EC:1.2.1.70]"
"837","K02495","hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"
"838","K02496","hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]"
"839","K02500","hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]"
"840","K02501","hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]"
"841","K02502","hisZ; ATP phosphoribosyltransferase regulatory subunit"
"842","K02517","lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]"
"843","K02527","kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]"
"844","K02535","lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]"
"845","K02536","lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]"
"846","K02545","mecA; penicillin-binding protein 2 prime [EC:3.4.16.4]"
"847","K02546","mecI; BlaI family transcriptional regulator, methicillin resistance regulatory protein"
"848","K02547","mecR1; methicillin resistance protein"
"849","K02548","menA; 1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]"
"850","K02549","menC; o-succinylbenzoate synthase [EC:4.2.1.113]"
"851","K02551","menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]"
"852","K02552","menF; menaquinone-specific isochorismate synthase [EC:5.4.4.2]"
"853","K02554","mhpD; 2-keto-4-pentenoate hydratase [EC:4.2.1.80]"
"854","K02560","lpxM, msbB; lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]"
"855","K02566","nagD; 5'-nucleotidase [EC:3.1.3.5]"
"856","K02567","napA; nitrate reductase (cytochrome) [EC:1.9.6.1]"
"857","K02568","napB; nitrate reductase (cytochrome), electron transfer subunit"
"858","K02575","NRT2, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter"
"859","K02576","NDST1; heparan sulfate N-deacetylase/N-sulfotransferase NDST1 [EC:3.5.1.- 2.8.2.8]"
"860","K02577","NDST2; heparan sulfate N-deacetylase/N-sulfotransferase NDST2 [EC:3.5.1.- 2.8.2.8]"
"861","K02578","NDST3; heparan sulfate N-deacetylase/N-sulfotransferase NDST3 [EC:3.5.1.- 2.8.2.8]"
"862","K02579","NDST4; heparan sulfate N-deacetylase/N-sulfotransferase NDST4 [EC:3.5.1.- 2.8.2.8]"
"863","K02586","nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
"864","K02588","nifH; nitrogenase iron protein NifH"
"865","K02591","nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
"866","K02609","paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]"
"867","K02610","paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB"
"868","K02611","paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]"
"869","K02612","paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD"
"870","K02613","paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE"
"871","K02615","paaJ; 3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase [EC:2.3.1.223 2.3.1.174]"
"872","K02618","paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]"
"873","K02626","pdaD; arginine decarboxylase [EC:4.1.1.19]"
"874","K02634","petA; apocytochrome f"
"875","K02635","petB; cytochrome b6"
"876","K02636","petC; cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]"
"877","K02637","petD; cytochrome b6-f complex subunit 4"
"878","K02640","petG; cytochrome b6-f complex subunit 5"
"879","K02642","petL; cytochrome b6-f complex subunit 6"
"880","K02643","petM; cytochrome b6-f complex subunit 7"
"881","K02689","psaA; photosystem I P700 chlorophyll a apoprotein A1 [EC:1.97.1.12]"
"882","K02690","psaB; photosystem I P700 chlorophyll a apoprotein A2 [EC:1.97.1.12]"
"883","K02691","psaC; photosystem I iron-sulfur center [EC:1.97.1.12]"
"884","K02692","psaD; photosystem I subunit II"
"885","K02693","psaE; photosystem I subunit IV"
"886","K02694","psaF; photosystem I subunit III"
"887","K02703","psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]"
"888","K02704","psbB; photosystem II CP47 chlorophyll apoprotein"
"889","K02705","psbC; photosystem II CP43 chlorophyll apoprotein"
"890","K02706","psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]"
"891","K02707","psbE; photosystem II cytochrome b559 subunit alpha"
"892","K02708","psbF; photosystem II cytochrome b559 subunit beta"
"893","K02821","ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]"
"894","K02822","ulaB, sgaB; ascorbate PTS system EIIB component [EC:2.7.1.194]"
"895","K02826","qoxA; cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]"
"896","K02827","qoxB; cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]"
"897","K02828","qoxC; cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]"
"898","K02829","qoxD; cytochrome aa3-600 menaquinol oxidase subunit IV [EC:7.1.1.5]"
"899","K02851","wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]"
"900","K02858","ribB, RIB3; 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]"
"901","K03077","araD, ulaF, sgaE, sgbE; L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]"
"902","K03078","ulaD, sgaH, sgbH; 3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]"
"903","K03079","ulaE, sgaU, sgbU; L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]"
"904","K03146","THI4, THI1; cysteine-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.60]"
"905","K03147","thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]"
"906","K03148","thiF; sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]"
"907","K03149","thiG; thiazole synthase [EC:2.8.1.10]"
"908","K03150","thiH; 2-iminoacetate synthase [EC:4.1.99.19]"
"909","K03151","thiI; tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]"
"910","K03153","thiO; glycine oxidase [EC:1.4.3.19]"
"911","K03154","thiS; sulfur carrier protein"
"912","K03179","ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]"
"913","K03181","ubiC; chorismate lyase [EC:4.1.3.40]"
"914","K03182","ubiD; 4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]"
"915","K03183","ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"
"916","K03184","ubiF; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]"
"917","K03185","ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]"
"918","K03186","ubiX, bsdB, PAD1; flavin prenyltransferase [EC:2.5.1.129]"
"919","K03196","virB11, lvhB11; type IV secretion system protein VirB11 [EC:7.4.2.8]"
"920","K03219","yscC, sctC, ssaC; type III secretion protein C"
"921","K03221","yscF, sctF, ssaG, prgI; type III secretion protein F"
"922","K03222","yscJ, sctJ, hrcJ, ssaJ; type III secretion protein J"
"923","K03223","yscL, sctL; type III secretion protein L"
"924","K03224","yscN, sctN, hrcN, ssaN; ATP synthase in type III secretion protein N [EC:7.4.2.8]"
"925","K03225","yscQ, sctQ, hrcQ, ssaQ, spaO; type III secretion protein Q"
"926","K03226","yscR, sctR, hrcR, ssaR; type III secretion protein R"
"927","K03227","yscS, sctS, hrcS, ssaS; type III secretion protein S"
"928","K03228","yscT, sctT, hrcT, ssaT; type III secretion protein T"
"929","K03229","yscU, sctU, hrcU, ssaU; type III secretion protein U"
"930","K03230","yscV, sctV, hrcV, ssaV, invA; type III secretion protein V"
"931","K03268","todC1, bedC1, tcbAa; benzene/toluene/chlorobenzene dioxygenase subunit alpha [EC:1.14.12.3 1.14.12.11 1.14.12.26]"
"932","K03269","lpxH; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"
"933","K03270","kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]"
"934","K03271","gmhA, lpcA; D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]"
"935","K03272","gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]"
"936","K03273","gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"
"937","K03274","gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]"
"938","K03331","DCXR; L-xylulose reductase [EC:1.1.1.10]"
"939","K03334","IL4I1; L-amino-acid oxidase [EC:1.4.3.2]"
"940","K03340","dapdh; diaminopimelate dehydrogenase [EC:1.4.1.16]"
"941","K03367","dltA; D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]"
"942","K03369","ST8SIA5; alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8E) [EC:2.4.3.-]"
"943","K03370","ST3GAL5; lactosylceramide alpha-2,3-sialyltransferase (sialyltransferase 9) [EC:2.4.3.9]"
"944","K03371","ST8SIA1; alpha-N-acetylneuraminate alpha-2,8-sialyltransferase (sialyltransferase 8A) [EC:2.4.3.8]"
"945","K03381","catA; catechol 1,2-dioxygenase [EC:1.13.11.1]"
"946","K03385","nrfA; nitrite reductase (cytochrome c-552) [EC:1.7.2.2]"
"947","K03388","hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]"
"948","K03389","hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]"
"949","K03390","hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]"
"950","K03392","ACMSD; aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45]"
"951","K03394","cobI-cbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]"
"952","K03399","cbiE; cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]"
"953","K03417","prpB; methylisocitrate lyase [EC:4.1.3.30]"
"954","K03419","CHPF2; chondroitin polymerizing factor 2 [EC:2.4.1.226]"
"955","K03431","glmM; phosphoglucosamine mutase [EC:5.4.2.10]"
"956","K03434","PIGL; N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89]"
"957","K03464","catC; muconolactone D-isomerase [EC:5.3.3.4]"
"958","K03465","thyX, thy1; thymidylate synthase (FAD) [EC:2.1.1.148]"
"959","K03472","epd; D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72]"
"960","K03473","pdxB; erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]"
"961","K03474","pdxJ; pyridoxine 5-phosphate synthase [EC:2.6.99.2]"
"962","K03475","ulaA, sgaT; ascorbate PTS system EIIC component"
"963","K03476","ulaG; L-ascorbate 6-phosphate lactonase [EC:3.1.1.-]"
"964","K03517","nadA; quinolinate synthase [EC:2.5.1.72]"
"965","K03525","coaX; type III pantothenate kinase [EC:2.7.1.33]"
"966","K03526","gcpE, ispG; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]"
"967","K03527","ispH, lytB; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]"
"968","K03585","acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system"
"969","K03635","MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]"
"970","K03637","moaC, CNX3; cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]"
"971","K03638","moaB; molybdopterin adenylyltransferase [EC:2.7.7.75]"
"972","K03639","moaA, CNX2; GTP 3',8-cyclase [EC:4.1.99.22]"
"973","K03644","lipA, LIAS, LIP1, LIP5; lipoyl synthase [EC:2.8.1.8]"
"974","K03661","ATPeV0B, ATP6F; V-type H+-transporting ATPase 21kDa proteolipid subunit"
"975","K03662","ATPeVS1, ATP6S1; V-type H+-transporting ATPase S1 subunit"
"976","K03689","petN; cytochrome b6-f complex subunit 8"
"977","K03737","por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
"978","K03738","aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]"
"979","K03739","dltB; membrane protein involved in D-alanine export"
"980","K03740","dltD; D-alanine transfer protein"
"981","K03750","moeA; molybdopterin molybdotransferase [EC:2.10.1.1]"
"982","K03760","eptA, pmrC; lipid A ethanolaminephosphotransferase [EC:2.7.8.43]"
"983","K03766","B3GNT5; beta-1,3-N-acetylglucosaminyltransferase 5 [EC:2.4.1.206]"
"984","K03781","katE, CAT, catB, srpA; catalase [EC:1.11.1.6]"
"985","K03783","punA, PNP; purine-nucleoside phosphorylase [EC:2.4.2.1]"
"986","K03784","deoD; purine-nucleoside phosphorylase [EC:2.4.2.1]"
"987","K03785","aroD; 3-dehydroquinate dehydratase I [EC:4.2.1.10]"
"988","K03786","aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]"
"989","K03787","surE; 5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]"
"990","K03794","sirB; sirohydrochlorin ferrochelatase [EC:4.99.1.4]"
"991","K03795","cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]"
"992","K03801","lipB; lipoyl(octanoyl) transferase [EC:2.3.1.181]"
"993","K03831","mogA; molybdopterin adenylyltransferase [EC:2.7.7.75]"
"994","K03841","FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
"995","K03842","ALG1; beta-1,4-mannosyltransferase [EC:2.4.1.142]"
"996","K03843","ALG2; alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.257]"
"997","K03844","ALG11; alpha-1,2-mannosyltransferase [EC:2.4.1.131]"
"998","K03845","ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]"
"999","K03846","ALG9; alpha-1,2-mannosyltransferase [EC:2.4.1.259 2.4.1.261]"
"1000","K03847","ALG12; alpha-1,6-mannosyltransferase [EC:2.4.1.260]"
"1001","K03848","ALG6; alpha-1,3-glucosyltransferase [EC:2.4.1.267]"
"1002","K03849","ALG8; alpha-1,3-glucosyltransferase [EC:2.4.1.265]"
"1003","K03850","ALG10; alpha-1,2-glucosyltransferase [EC:2.4.1.256]"
"1004","K03856","AROA2, aroA; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"1005","K03857","PIGA, GPI3; phosphatidylinositol N-acetylglucosaminyltransferase subunit A [EC:2.4.1.198]"
"1006","K03858","PIGH, GPI15; phosphatidylinositol N-acetylglucosaminyltransferase subunit H"
"1007","K03859","PIGC, GPI2; phosphatidylinositol N-acetylglucosaminyltransferase subunit C"
"1008","K03860","PIGQ, GPI1; phosphatidylinositol N-acetylglucosaminyltransferase subunit Q"
"1009","K03861","PIGP, GPI19, DSCR5; phosphatidylinositol N-acetylglucosaminyltransferase subunit P"
"1010","K03877","B3GALT5; beta-1,3-galactosyltransferase 5 [EC:2.4.1.-]"
"1011","K03878","ND1; NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2]"
"1012","K03879","ND2; NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2]"
"1013","K03880","ND3; NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2]"
"1014","K03881","ND4; NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2]"
"1015","K03882","ND4L; NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2]"
"1016","K03883","ND5; NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]"
"1017","K03884","ND6; NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]"
"1018","K03886","qcrA; quinol---cytochrome c reductase iron-sulfur subunit, bacillus type [EC:7.1.1.8]"
"1019","K03887","qcrB; quinol---cytochrome c reductase cytochrome b subunit, bacillus type [EC:7.1.1.8]"
"1020","K03888","qcrC; quinol---cytochrome c reductase cytochrome c subunit, bacillus type [EC:7.1.1.8]"
"1021","K03889","qcrC; quinol---cytochrome-c reductase cytochrome c subunit [EC:7.1.1.8]"
"1022","K03890","qcrA; quinol---cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
"1023","K03891","qcrB; quinol---cytochrome-c reductase cytochrome b subunit [EC:7.1.1.8]"
"1024","K03894","iucA; N2-citryl-N6-acetyl-N6-hydroxylysine synthase [EC:6.3.2.38]"
"1025","K03895","iucC; aerobactin synthase [EC:6.3.2.39]"
"1026","K03896","iucB; acetyl CoA:N6-hydroxylysine acetyl transferase [EC:2.3.1.102]"
"1027","K03897","iucD; lysine N6-hydroxylase [EC:1.14.13.59]"
"1028","K03934","NDUFS1; NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:7.1.1.2]"
"1029","K03935","NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2]"
"1030","K03936","NDUFS3; NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:7.1.1.2]"
"1031","K03937","NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4"
"1032","K03938","NDUFS5; NADH dehydrogenase (ubiquinone) Fe-S protein 5"
"1033","K03939","NDUFS6; NADH dehydrogenase (ubiquinone) Fe-S protein 6"
"1034","K03940","NDUFS7; NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:7.1.1.2]"
"1035","K03941","NDUFS8; NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:7.1.1.2]"
"1036","K03942","NDUFV1; NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:7.1.1.2]"
"1037","K03943","NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2]"
"1038","K03944","NDUFV3; NADH dehydrogenase (ubiquinone) flavoprotein 3"
"1039","K03945","NDUFA1; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1"
"1040","K03946","NDUFA2; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2"
"1041","K03947","NDUFA3; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3"
"1042","K03948","NDUFA4; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4"
"1043","K03949","NDUFA5; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5"
"1044","K03950","NDUFA6; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6"
"1045","K03951","NDUFA7; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7"
"1046","K03952","NDUFA8; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8"
"1047","K03953","NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9"
"1048","K03954","NDUFA10; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10"
"1049","K03955","NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein"
"1050","K03956","NDUFA11; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11"
"1051","K03957","NDUFB1; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1"
"1052","K03958","NDUFB2; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2"
